accession,dataset,biosample,antibiotic,species,mic,phenotype,gtdb_species,gtdb_genus,gtdb_ani,adjusted_mic,adjusted_phenotype
ERZ25095492,c24_test,SAMEA104175418,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9716562515054018,0.03125,susceptible
ERZ25096211,c24_test,SAMEA104175501,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9721502221131424,0.03125,susceptible
ERZ3081616,c24_test,SAMEA104188683,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.971562839122728,1,resistant
ERZ3081617,c24_test,SAMEA104188687,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.976338805370539,1,resistant
ERZ3081618,c24_test,SAMEA104188682,Ciprofloxacin,Escherichia coli,0.5,intermediate,Escherichia coli,Escherichia,0.9723246650357904,0.5,intermediate
ERZ3081619,c24_test,SAMEA104188685,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.985906294383303,1,resistant
ERZ3081621,c24_test,SAMEA104188689,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9750913263594672,0.25,susceptible
ERZ3081622,c24_test,SAMEA104188690,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9745692320023852,0.25,susceptible
ERZ3081624,c24_test,SAMEA104188691,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9746327048722988,0.25,susceptible
ERZ3081628,c24_test,SAMEA104188693,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9723201168608678,0.25,susceptible
ERZ3081631,c24_test,SAMEA104188701,Ciprofloxacin,Escherichia coli,0.5,intermediate,Escherichia coli,Escherichia,0.973476023197656,0.5,intermediate
ERZ3081634,c24_test,SAMEA104188704,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9735253087733744,0.25,susceptible
ERZ3081637,c24_test,SAMEA104188699,Ciprofloxacin,Escherichia coli,0.5,intermediate,Escherichia coli,Escherichia,0.9862489865096776,0.5,intermediate
ERZ3081640,c24_test,SAMEA104188709,Ciprofloxacin,Escherichia coli,0.125,susceptible,Escherichia coli,Escherichia,0.973701109216449,0.125,susceptible
ERZ3081641,c24_test,SAMEA104188708,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9725746886833232,8,resistant
ERZ3081644,c24_test,SAMEA104188714,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.972382332683504,0.25,susceptible
