accession,status,stderr_tail
GCA_000633675.2,skipped_already_done,
GCA_000770285.1,skipped_already_done,
GCA_000797655.1,skipped_already_done,
GCA_000797675.1,ok,
GCA_000797695.1,ok,
GCA_000797775.1,ok,
GCA_000797875.1,ok,
GCA_000797915.1,ok,
GCA_000797955.1,ok,
GCA_000798035.1,ok,
GCA_000798055.1,ok,
GCA_000798075.1,ok,
GCA_000798095.1,ok,
GCA_000798135.1,ok,
GCA_000798155.1,ok,
GCA_000798195.1,ok,
GCA_000798275.1,ok,
GCA_000798315.1,ok,
GCA_000798355.1,ok,
GCA_000798375.1,ok,
